date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-10,BK1340,印制电路板,行业,30.17,928.4,1.95,3.25,97.4,强势延续,33.0,15.0,2
2026-09-10,BK0459,元件,行业,30.17,1099.4,1.3,2.74,96.9,强势延续,38.0,29.0,2
2026-09-10,BK1383,航海装备Ⅲ,行业,4.88,149.6,2.52,3.26,95.2,强化,9.0,0,2
2026-09-10,BK1230,航海装备Ⅱ,行业,4.88,149.6,2.52,3.26,95.2,强化,9.0,0,2
2026-09-10,BK0427,公用事业,行业,20.31,511.6,0.86,3.97,94.8,强势延续,80.0,57.0,1
2026-09-10,BK0729,船舶制造,概念,6.01,166.0,1.25,3.62,94.6,强化,9.0,5.0,1
2026-09-10,BK0428,电力,行业,15.19,442.7,0.97,3.43,94.2,强势延续,67.0,40.0,1
2026-09-10,BK1377,火力发电,行业,6.18,197.0,1.24,3.14,93.2,强势延续,22.0,10.0,1
2026-09-10,BK0855,纳米银,概念,4.43,79.2,1.06,5.6,91.3,强势延续,2.0,5.0,1
2026-09-10,BK1381,燃气Ⅲ,行业,5.12,69.0,0.47,7.43,90.8,形成,13.0,17.0,1
2026-09-10,BK1028,燃气Ⅱ,行业,5.12,69.0,0.47,7.43,90.8,形成,13.0,17.0,1
2026-09-10,BK1452,卫浴电器,行业,3.6,11.8,4.87,30.57,90.5,观察,2.0,1.0,1
2026-09-10,BK1373,电能综合服务,行业,3.7,45.7,2.26,8.1,90.1,观察,10.0,4.0,1
2026-09-10,BK1492,焦炭Ⅲ,行业,0.89,25.3,0.65,3.54,89.9,强化,4.0,3.0,4
2026-09-10,BK1249,焦炭Ⅱ,行业,0.89,25.3,0.65,3.54,89.9,强化,4.0,3.0,4
2026-09-10,BK1380,水力发电,行业,1.61,47.0,2.23,3.43,89.7,观察,8.0,3.0,1
2026-09-10,BK1462,玻纤制造,行业,16.33,217.0,3.77,7.52,88.9,观察,8.0,0,1
2026-09-10,BK0546,玻璃玻纤,行业,16.76,225.0,2.53,7.45,88.7,观察,13.0,4.0,1
2026-09-10,BK0877,PCB,概念,22.87,2117.3,-0.15,1.08,88.2,形成,69.0,129.0,2
2026-09-10,BK0843,天然气,概念,8.52,443.1,-0.68,1.92,88.2,形成,32.0,93.0,2
2026-09-10,BK0715,航母概念,概念,1.87,217.4,-0.4,0.86,88.1,形成,10.0,22.0,2
2026-09-10,BK1374,风力发电,行业,2.02,49.1,0.76,4.11,87.9,形成,10.0,4.0,2
2026-09-10,BK1556,教育运营及其他,行业,0.28,13.5,6.02,2.08,87.9,强势延续,2.0,0,2
2026-09-10,BK0425,工程建设,概念,15.62,129.0,-0.33,12.11,87.9,形成,16.0,45.0,2
2026-09-10,BK1477,其他专业工程,行业,4.42,44.7,-0.15,9.88,87.8,观察,5.0,13.0,1
2026-09-10,BK0622,地热能,概念,2.36,52.9,0.55,4.45,87.6,强势延续,3.0,6.0,2
2026-09-10,BK1209,建筑装饰,行业,18.01,228.1,-0.71,7.9,87.5,形成,36.0,112.0,2
2026-09-10,BK1024,绿色电力,概念,32.33,599.0,0.19,5.4,87.5,观察,80.0,89.0,1
2026-09-10,BK1375,光伏发电,行业,2.02,34.7,1.19,5.82,87.3,形成,8.0,5.0,2
2026-09-10,BK1609,城商行Ⅲ,行业,3.13,96.3,1.93,3.25,86.7,观察,17.0,0,1
2026-09-10,BK1248,专业工程,行业,4.04,64.6,-0.21,6.25,86.4,形成,12.0,26.0,2
2026-09-10,BK1574,油气开采Ⅲ,行业,2.05,25.5,-0.27,8.04,86.4,观察,2.0,3.0,1
2026-09-10,BK1276,油气开采Ⅱ,行业,2.05,25.5,-0.27,8.04,86.4,观察,2.0,3.0,1
2026-09-10,BK1461,玻璃制造,行业,0.43,8.1,1.43,5.39,86.2,强化,5.0,4.0,3
