date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-18,BK1036,半导体,行业,182.2,3339.3,4.35,5.46,95.9,高潮,182.0,4.0,1
2026-09-18,BK1101,先进封装,概念,93.87,1574.6,3.57,5.96,94.6,高潮,82.0,7.0,4
2026-09-18,BK0916,氮化镓,概念,46.31,478.1,3.44,9.69,93.6,强势延续,45.0,2.0,1
2026-09-18,BK0891,国产芯片,概念,229.91,4962.8,2.87,4.63,92.6,强势延续,394.0,40.0,1
2026-09-18,BK0917,半导体概念,概念,207.28,5781.3,3.07,3.59,92.5,强势延续,486.0,49.0,1
2026-09-18,BK1201,电子,行业,198.54,6485.3,2.81,3.06,92.3,强化,465.0,49.0,1
2026-09-18,BK1328,集成电路封测,行业,50.83,343.4,4.43,14.8,92.1,高潮,13.0,0,1
2026-09-18,BK1175,玻璃基板,概念,47.37,945.4,2.57,5.01,92.1,强势延续,55.0,4.0,4
2026-09-18,BK0501,次新股,概念,36.68,823.6,4.66,4.45,91.8,强势延续,157.0,5.0,4
2026-09-18,BK1137,存储芯片,概念,134.12,2845.8,3.33,4.71,91.4,观察,132.0,10.0,1
2026-09-18,BK0935,中芯概念,概念,42.97,1230.0,3.03,3.49,90.8,强势延续,63.0,4.0,1
2026-09-18,BK0952,第三代半导体,概念,41.16,1239.5,2.82,3.32,90.5,强化,111.0,11.0,1
2026-09-18,BK0884,光刻机,概念,21.6,493.2,3.46,4.38,90.4,强势延续,41.0,1.0,2
2026-09-18,BK1128,CPO概念,概念,141.91,2980.3,2.48,4.76,90.0,观察,85.0,9.0,1
2026-09-18,BK1591,通信网络设备及器件,行业,67.53,1167.1,2.86,5.79,89.8,观察,35.0,2.0,1
2026-09-18,BK1180,华为海思,概念,59.3,553.4,3.31,10.71,89.8,观察,42.0,4.0,1
2026-09-18,BK1329,集成电路制造,行业,12.4,204.2,4.59,6.07,88.9,强化,9.0,0,3
2026-09-18,BK1713,科技风格,概念,184.83,4623.8,2.9,4.0,88.9,观察,91.0,8.0,1
2026-09-18,BK1152,高带宽内存,概念,20.53,658.6,3.3,3.12,88.9,强势延续,27.0,1.0,2
2026-09-18,BK1326,半导体设备,行业,18.2,557.2,4.83,3.27,88.7,强势延续,23.0,2.0,2
2026-09-18,BK1327,分立器件,行业,11.32,262.2,4.46,4.32,88.7,强化,18.0,0,4
2026-09-18,BK0840,OLED,概念,35.53,1121.3,2.15,3.17,88.6,强化,86.0,11.0,3
2026-09-18,BK1059,百元股,概念,160.19,5537.3,3.17,2.89,88.0,观察,192.0,25.0,1
2026-09-18,BK1669,中盘成长,概念,83.61,2781.2,2.57,3.01,88.0,强势延续,176.0,18.0,2
2026-09-18,BK0905,传感器,概念,62.07,832.5,2.24,7.46,88.0,观察,121.0,13.0,1
2026-09-18,BK1127,AI芯片,概念,17.39,626.2,3.74,2.78,87.1,强势延续,38.0,1.0,2
