date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-14,BK1023,培育钻石,概念,18.18,193.6,4.48,9.39,94.4,观察,16.0,3.0,1
2026-09-14,BK0459,元件,行业,28.84,1438.7,2.71,2.0,94.1,强化,46.0,20.0,4
2026-09-14,BK1600,医疗研发外包,行业,12.95,220.5,5.75,5.87,94.0,观察,29.0,0,1
2026-09-14,BK0899,CRO,概念,14.83,270.5,4.56,5.48,94.0,观察,47.0,2.0,1
2026-09-14,BK0727,医疗服务,行业,16.36,264.5,4.09,6.18,93.9,观察,49.0,3.0,1
2026-09-14,BK1340,印制电路板,行业,23.1,1070.2,3.18,2.16,93.5,强化,32.0,16.0,4
2026-09-14,BK1397,磨具磨料,行业,18.1,119.2,3.04,15.19,93.3,观察,12.0,2.0,1
2026-09-14,BK1658,创新医疗服务,概念,14.49,310.6,2.8,4.66,92.0,试探,69.0,7.0,1
2026-09-14,BK1716,反转股,概念,6.87,216.5,2.27,3.17,90.8,强化,8.0,4.0,4
2026-09-14,BK0890,MLCC,概念,22.41,579.8,3.31,3.86,90.4,强势延续,37.0,2.0,4
2026-09-14,BK0976,被动元件概念,概念,15.77,552.9,1.04,2.85,90.4,强势延续,20.0,10.0,2
2026-09-14,BK1339,被动元件,行业,5.74,368.5,1.52,1.56,89.9,强势延续,14.0,4.0,2
2026-09-14,BK0877,PCB,概念,43.85,2273.5,2.19,1.93,89.4,形成,153.0,48.0,2
2026-09-14,BK1425,胶黏剂及胶带,行业,2.12,15.4,4.44,13.83,88.4,观察,5.0,0,1
2026-09-14,BK0986,CAR-T细胞疗法,概念,6.56,129.7,2.66,5.06,88.4,试探,26.0,4.0,1
2026-09-14,BK0866,人造肉,概念,11.95,67.0,1.91,17.83,87.9,试探,14.0,4.0,1
2026-09-14,BK1063,重组蛋白,概念,3.46,85.6,3.51,4.04,87.9,观察,31.0,3.0,1
2026-09-14,BK1018,橡胶,行业,2.41,41.7,1.45,5.79,87.3,强化,18.0,3.0,3
2026-09-14,BK1462,玻纤制造,行业,8.98,262.8,1.36,3.42,87.1,强势延续,6.0,2.0,2
2026-09-14,BK1439,膜材料,行业,2.27,75.6,2.06,3.01,86.9,形成,18.0,3.0,2
2026-09-14,BK1520,综合乘用车,行业,0.86,25.7,3.11,3.36,86.7,强化,4.0,1.0,3
2026-09-14,BK0996,毛发医疗,概念,3.26,32.0,1.76,10.18,85.3,试探,15.0,2.0,1
2026-09-14,BK1595,原料药,行业,2.37,70.8,2.12,3.35,85.1,试探,40.0,6.0,1
2026-09-14,BK1029,汽车整车,概念,4.34,111.0,2.71,3.91,85.1,观察,22.0,3.0,1
2026-09-14,BK0566,滨海新区,概念,3.96,35.2,1.7,11.24,84.9,观察,15.0,4.0,1
2026-09-14,BK1264,商用车,行业,1.78,31.2,2.58,5.7,84.6,观察,13.0,1.0,1
2026-09-14,BK1377,火力发电,行业,6.07,156.6,0.31,3.87,84.2,强势延续,19.0,14.0,2
2026-09-14,BK1531,商用载客车,行业,0.81,11.0,3.87,7.36,84.2,观察,5.0,0,1
2026-09-14,BK1443,橡胶助剂,行业,2.01,20.0,2.01,10.05,83.8,强势延续,1.0,1.0,2
2026-09-14,BK1448,横向通用软件,行业,10.02,152.6,3.96,6.56,83.7,试探,27.0,7.0,1
2026-09-14,BK0816,昨日连板,概念,3.3,59.3,4.94,5.57,83.7,高潮,4.0,1.0,1
2026-09-14,BK1401,纺织服装设备,行业,1.8,20.5,1.23,8.82,83.6,形成,9.0,3.0,2
2026-09-14,BK1495,生活用纸,行业,1.29,10.5,1.29,12.2,83.6,强化,8.0,1.0,3
2026-09-14,BK1596,其他生物制品,行业,3.85,82.4,3.2,4.67,83.5,试探,35.0,4.0,1
2026-09-14,BK1262,乘用车,行业,2.58,66.4,2.73,3.88,83.3,观察,7.0,1.0,1
2026-09-14,BK0939,辅助生殖,概念,6.24,97.0,1.78,6.43,83.1,试探,45.0,8.0,1
