date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-09,BK1299,影视动漫制作,行业,-3.93,65.5,-2.77,-6.0,38.2,撤退,2.0,12.0,0
2026-09-09,BK0739,工程机械,行业,-2.28,58.0,-0.36,-3.94,38.1,观察,14.0,20.0,0
2026-09-09,BK1281,休闲食品,行业,-1.38,23.7,-1.26,-5.84,38.0,观察,3.0,19.0,0
2026-09-09,BK1181,并购重组概念,概念,-14.9,755.9,-0.6,-1.97,38.0,观察,56.0,118.0,0
2026-09-09,BK1633,昨日高振幅,概念,-34.96,2963.3,-0.67,-1.18,38.0,观察,130.0,214.0,0
2026-09-09,BK1275,油服工程,行业,-2.79,47.1,-1.24,-5.94,37.9,观察,3.0,11.0,0
2026-09-09,BK1131,同步磁阻电机,概念,-0.19,11.4,-0.78,-1.63,37.9,观察,2.0,5.0,0
2026-09-09,BK1057,电子纸概念,概念,-0.38,97.1,-1.72,-0.39,37.8,观察,4.0,10.0,0
2026-09-09,BK0476,装修建材,行业,-0.82,31.8,-0.67,-2.58,37.7,观察,7.0,31.0,0
2026-09-09,BK1183,谷子经济,概念,-12.16,244.3,-1.87,-4.98,37.7,观察,17.0,62.0,0
2026-09-09,BK1664,中盘股,概念,-46.18,3702.8,-0.06,-1.25,37.7,观察,211.0,275.0,0
2026-09-09,BK1341,房产租赁经纪,行业,-1.5,25.7,-5.66,-5.82,37.5,观察,0,3.0,0
2026-09-09,BK1658,创新医疗服务,概念,-6.73,306.5,-1.13,-2.2,37.5,观察,14.0,64.0,0
2026-09-09,BK0998,机器视觉,概念,-0.95,248.5,-0.82,-0.38,37.3,观察,22.0,78.0,0
2026-09-09,BK0996,毛发医疗,概念,-2.5,43.0,-1.0,-5.82,37.2,观察,4.0,15.0,0
2026-09-09,BK1406,印刷包装机械,行业,-0.2,5.7,-0.53,-3.6,37.1,观察,4.0,8.0,0
2026-09-09,BK0728,环保,行业,-4.15,138.0,-0.4,-3.01,37.1,观察,42.0,87.0,0
2026-09-09,BK1711,消费风格,概念,-22.0,480.3,-0.39,-4.58,37.1,观察,32.0,68.0,0
2026-09-09,BK1527,轮胎轮毂,行业,-0.74,16.6,-0.5,-4.44,37.0,观察,10.0,10.0,0
2026-09-09,BK0811,超级品牌,概念,-8.64,183.7,-0.18,-4.7,37.0,观察,9.0,23.0,0
2026-09-09,BK1431,有机硅,行业,-2.26,26.9,-0.7,-8.39,36.7,观察,3.0,7.0,0
2026-09-09,BK0959,数字阅读,概念,-2.3,52.2,-2.84,-4.41,36.7,观察,2.0,17.0,0
2026-09-09,BK0568,深成500,概念,-30.83,4828.5,-0.22,-0.64,36.7,观察,185.0,304.0,0
2026-09-09,BK0436,纺织服饰,行业,-1.79,106.7,-0.73,-1.68,36.5,观察,29.0,76.0,0
