date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-11,BK0459,元件,行业,37.87,1477.3,3.03,2.56,98.0,强势延续,50.0,17.0,3
2026-09-11,BK1339,被动元件,行业,29.09,332.8,2.39,8.74,97.1,强势延续,14.0,5.0,1
2026-09-11,BK0448,通信设备,行业,47.41,1775.1,0.52,2.67,97.0,强势延续,38.0,52.0,1
2026-09-11,BK1136,光通信模块,概念,43.37,2640.2,0.07,1.64,96.8,强势延续,42.0,75.0,1
2026-09-11,BK1591,通信网络设备及器件,行业,30.6,1070.3,0.05,2.86,96.5,强势延续,11.0,26.0,1
2026-09-11,BK1340,印制电路板,行业,8.78,1144.6,3.28,0.77,96.3,强势延续,36.0,12.0,3
2026-09-11,BK1215,通信,行业,44.32,1876.9,-0.04,2.36,96.0,形成,42.0,84.0,1
2026-09-11,BK1088,F5G概念,概念,24.0,850.1,-0.17,2.82,95.9,强势延续,8.0,18.0,1
2026-09-11,BK1382,地面兵装Ⅲ,行业,13.58,118.9,4.48,11.42,95.6,观察,12.0,0,1
2026-09-11,BK1229,地面兵装Ⅱ,行业,13.58,118.9,4.48,11.42,95.6,观察,12.0,0,1
2026-09-11,BK1204,国防军工,行业,9.62,730.6,0.07,1.32,94.4,强化,56.0,85.0,1
2026-09-11,BK1375,光伏发电,行业,4.18,56.0,1.44,7.47,93.3,强势延续,7.0,6.0,2
2026-09-11,BK1380,水力发电,行业,2.48,89.5,1.43,2.78,92.9,观察,7.0,3.0,1
2026-09-11,BK1716,反转股,概念,2.02,128.7,2.03,1.57,92.6,强势延续,5.0,4.0,2
2026-09-11,BK0808,军民融合,概念,12.63,883.6,-0.38,1.43,92.4,试探,59.0,120.0,1
2026-09-11,BK0976,被动元件概念,概念,33.69,504.8,2.54,6.67,92.1,强势延续,21.0,8.0,2
2026-09-11,BK0855,纳米银,概念,1.27,92.1,0.06,1.38,92.0,强势延续,3.0,4.0,2
2026-09-11,BK1313,风电零部件,行业,5.96,81.6,0.06,7.31,91.9,形成,10.0,16.0,2
2026-09-11,BK1295,其他数字媒体,行业,4.42,12.2,3.78,36.31,91.8,强化,1.0,1.0,3
2026-09-11,BK1032,风电设备,行业,6.73,117.9,0.09,5.71,91.2,形成,12.0,19.0,2
2026-09-11,BK1592,通信线缆及配套,行业,26.71,504.6,5.84,5.29,91.0,高潮,12.0,1.0,2
2026-09-11,BK1590,其他通信设备,行业,1.65,31.3,1.14,5.27,90.5,强势延续,8.0,6.0,2
2026-09-11,BK1386,军工电子Ⅲ,行业,9.78,229.4,0.04,4.26,90.3,形成,26.0,35.0,2
2026-09-11,BK1233,军工电子Ⅱ,行业,9.78,229.4,0.04,4.26,90.3,形成,26.0,35.0,2
