date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-17,BK0899,CRO,概念,18.31,287.8,2.56,6.36,96.2,强化,45.0,4.0,2
2026-09-17,BK1600,医疗研发外包,行业,13.43,232.9,1.98,5.77,95.3,强化,27.0,2.0,2
2026-09-17,BK0727,医疗服务,行业,12.59,279.9,1.34,4.5,93.1,强化,40.0,12.0,2
2026-09-17,BK1462,玻纤制造,行业,7.58,397.7,1.87,1.91,92.9,强化,6.0,2.0,1
2026-09-17,BK0546,玻璃玻纤,行业,10.28,415.7,1.7,2.47,92.7,强化,12.0,5.0,1
2026-09-17,BK1547,跨境电商,行业,2.4,27.6,3.47,8.7,90.8,强化,7.0,1.0,2
2026-09-17,BK1335,面板,行业,23.09,299.7,1.55,7.7,89.9,强势延续,26.0,13.0,4
2026-09-17,BK1313,风电零部件,行业,2.78,139.4,2.03,1.99,88.9,强化,17.0,9.0,1
2026-09-17,BK1057,电子纸概念,概念,20.13,202.9,2.52,9.92,88.4,观察,9.0,4.0,4
2026-09-17,BK1268,互联网电商,行业,3.02,40.3,2.34,7.49,88.2,观察,15.0,3.0,2
2026-09-17,BK1032,风电设备,行业,2.61,176.6,1.73,1.48,87.3,强化,18.0,13.0,1
2026-09-17,BK0986,CAR-T细胞疗法,概念,5.15,123.7,1.25,4.16,87.3,观察,25.0,4.0,2
2026-09-17,BK0902,MiniLED,概念,24.44,653.3,0.4,3.74,86.8,观察,32.0,33.0,1
2026-09-17,BK1294,门户网站,行业,2.17,48.4,1.57,4.48,86.6,强势延续,7.0,2.0,2
2026-09-17,BK1142,裸眼3D,概念,19.96,207.9,0.85,9.6,86.6,观察,15.0,8.0,2
2026-09-17,BK1063,重组蛋白,概念,2.66,98.0,2.61,2.72,86.2,观察,32.0,1.0,1
2026-09-17,BK1221,数字媒体,行业,3.8,106.2,1.65,3.57,85.9,形成,13.0,2.0,2
2026-09-17,BK1658,创新医疗服务,概念,11.25,314.4,0.66,3.58,85.8,观察,46.0,29.0,1
2026-09-17,BK1651,显示技术,概念,23.06,347.3,0.76,6.64,84.9,强势延续,21.0,23.0,2
2026-09-17,BK0840,OLED,概念,22.36,1007.1,0.02,2.22,84.7,强化,37.0,57.0,4
2026-09-17,BK1461,玻璃制造,行业,2.7,18.0,1.55,14.97,84.2,观察,6.0,3.0,1
2026-09-17,BK1526,底盘与发动机系统,行业,18.1,232.9,1.48,7.77,84.1,试探,84.0,28.0,1
2026-09-17,BK1596,其他生物制品,行业,2.84,84.6,1.83,3.36,84.0,观察,33.0,6.0,1
