date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-21,BK0899,CRO,概念,13.93,387.7,4.88,3.59,91.9,强化,49.0,0,4
2026-09-21,BK0727,医疗服务,行业,12.61,403.2,5.21,3.13,91.0,强化,54.0,0,4
2026-09-21,BK1600,医疗研发外包,行业,9.83,318.6,5.27,3.08,90.2,强化,29.0,0,4
2026-09-21,BK0986,CAR-T细胞疗法,概念,11.6,201.9,3.95,5.75,88.7,强势延续,31.0,0,4
2026-09-21,BK1657,病原体防治,概念,34.67,535.5,4.28,6.47,88.3,观察,162.0,4.0,3
2026-09-21,BK1592,通信线缆及配套,行业,14.63,461.1,3.21,3.17,88.2,强化,12.0,1.0,1
2026-09-21,BK1596,其他生物制品,行业,10.2,144.3,5.02,7.07,87.8,高潮,38.0,1.0,4
2026-09-21,BK1658,创新医疗服务,概念,15.34,450.2,3.56,3.41,87.5,强势延续,75.0,3.0,4
2026-09-21,BK1044,生物制品,行业,12.0,194.5,4.57,6.17,87.3,观察,57.0,1.0,3
2026-09-21,BK1063,重组蛋白,概念,8.14,160.2,5.21,5.08,87.0,高潮,34.0,0,4
2026-09-21,BK0822,租售同权,概念,6.84,125.5,4.63,5.45,87.0,强势延续,22.0,1.0,4
2026-09-21,BK1106,创新药,概念,42.2,901.7,4.64,4.68,86.0,强势延续,202.0,3.0,4
2026-09-21,BK0906,流感,概念,28.56,377.3,4.01,7.57,85.9,观察,126.0,4.0,1
2026-09-21,BK1341,房产租赁经纪,行业,2.66,22.0,7.35,12.11,85.5,高潮,3.0,0,3
2026-09-21,BK1216,医药生物,行业,67.42,1507.9,4.06,4.47,85.0,强势延续,490.0,18.0,2
2026-09-21,BK0889,医美概念,概念,12.87,337.5,3.62,3.81,84.6,强势延续,77.0,3.0,2
2026-09-21,BK0653,养老概念,概念,25.88,393.1,3.17,6.58,83.3,强势延续,118.0,13.0,2
2026-09-21,BK1202,房地产,行业,8.87,266.2,3.32,3.33,82.8,强势延续,95.0,7.0,2
2026-09-21,BK0964,6G概念,概念,15.89,640.6,2.32,2.48,82.8,强势延续,43.0,5.0,2
2026-09-21,BK1594,化学制剂,行业,27.96,399.4,4.79,7.0,82.0,观察,113.0,1.0,1
2026-09-21,BK1045,房地产服务,行业,2.43,35.6,4.54,6.82,82.0,强化,15.0,1.0,3
2026-09-21,BK1346,住宅开发,行业,6.81,188.1,3.48,3.62,81.6,强势延续,56.0,6.0,2
2026-09-21,BK0870,单抗概念,概念,18.88,222.8,4.74,8.47,81.4,观察,49.0,0,1
2026-09-21,BK0465,化学制药,行业,27.62,520.7,4.69,5.3,81.3,观察,156.0,4.0,1
2026-09-21,BK1465,防水材料,行业,1.8,12.5,6.14,14.38,81.0,强势延续,3.0,0,2
2026-09-21,BK1078,肝炎概念,概念,14.92,232.5,4.56,6.42,81.0,观察,56.0,1.0,1
2026-09-21,BK1251,个护用品,行业,2.32,19.0,2.95,12.22,80.2,强化,12.0,1.0,3
2026-09-21,BK1422,无机盐,行业,3.52,60.5,4.44,5.81,79.9,强势延续,10.0,1.0,2
2026-09-21,BK1146,减肥药,概念,9.97,236.6,4.25,4.21,79.9,观察,42.0,1.0,1
2026-09-21,BK0454,塑料,行业,6.67,236.0,2.29,2.82,79.8,强化,67.0,10.0,3
2026-09-21,BK0448,通信设备,行业,25.99,1590.3,1.86,1.63,79.5,强势延续,73.0,18.0,2
2026-09-21,BK1340,印制电路板,行业,24.38,1081.6,2.78,2.25,79.5,观察,38.0,10.0,1
2026-09-21,BK0451,房地产开发,行业,6.44,230.5,3.1,2.79,79.5,强势延续,80.0,6.0,2
2026-09-21,BK1495,生活用纸,行业,2.39,16.9,2.86,14.12,79.5,强化,8.0,1.0,3
2026-09-21,BK0894,阿兹海默,概念,3.06,63.1,4.38,4.84,79.2,观察,21.0,0,1
2026-09-21,BK1659,精准诊断,概念,4.64,176.7,4.08,2.63,79.1,强势延续,58.0,2.0,2
2026-09-21,BK1316,光伏辅材,行业,2.61,43.8,2.44,5.95,79.0,强化,17.0,1.0,3
2026-09-21,BK1056,幽门螺杆菌概念,概念,7.01,150.7,4.31,4.65,79.0,观察,58.0,1.0,1
2026-09-21,BK1361,期货,行业,0.96,9.0,4.46,10.64,78.9,高潮,4.0,0,2
2026-09-21,BK0841,体外诊断概念,概念,5.85,194.8,3.94,3.01,78.7,强势延续,63.0,4.0,2
2026-09-21,BK1439,膜材料,行业,4.94,115.5,1.99,4.28,78.3,强化,17.0,4.0,3
2026-09-21,BK0939,辅助生殖,概念,5.87,176.2,3.81,3.33,78.3,观察,50.0,3.0,1
2026-09-21,BK0806,精准医疗,概念,3.92,142.8,3.76,2.75,77.2,强势延续,42.0,2.0,2
2026-09-21,BK0615,中药概念,概念,28.89,362.1,3.42,7.98,77.1,观察,141.0,5.0,1
2026-09-21,BK1035,美容护理,行业,2.32,52.7,2.71,4.41,77.0,强势延续,33.0,1.0,2
2026-09-21,BK1335,面板,行业,3.6,315.6,2.68,1.14,76.9,强势延续,36.0,5.0,2
2026-09-21,BK1170,AI制药（医疗）,概念,6.98,375.7,3.81,1.86,76.9,强势延续,76.0,3.0,2
2026-09-21,BK1578,其他酒类,行业,0.77,28.7,3.3,2.68,76.8,强化,11.0,0,3
