date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-15,BK1462,玻纤制造,行业,16.08,327.9,0.59,4.9,97.0,强势延续,5.0,3.0,5
2026-09-15,BK0877,PCB,概念,39.18,2536.2,0.79,1.54,96.6,强势延续,106.0,93.0,2
2026-09-15,BK1032,风电设备,行业,11.57,144.4,4.2,8.01,96.1,强势延续,25.0,5.0,4
2026-09-15,BK1313,风电零部件,行业,11.97,102.4,4.78,11.69,95.9,强势延续,21.0,4.0,4
2026-09-15,BK1439,膜材料,行业,9.06,122.1,1.82,7.42,95.1,强势延续,13.0,8.0,4
2026-09-15,BK1716,反转股,概念,5.23,207.7,1.94,2.52,95.1,强化,7.0,5.0,5
2026-09-15,BK1592,通信线缆及配套,行业,22.74,375.7,-0.66,6.05,94.6,强势延续,5.0,8.0,1
2026-09-15,BK1113,复合集流体,概念,7.46,259.9,1.68,2.87,93.7,观察,19.0,11.0,3
2026-09-15,BK0546,玻璃玻纤,行业,15.88,338.1,-0.95,4.7,93.3,强势延续,6.0,11.0,5
2026-09-15,BK1753,光刻胶,概念,13.24,262.6,1.09,5.04,91.7,形成,38.0,24.0,2
2026-09-15,BK0454,塑料,行业,13.35,222.3,-0.03,6.01,91.3,形成,28.0,49.0,2
2026-09-15,BK1625,钨,行业,12.41,129.5,5.88,9.59,91.3,观察,4.0,0,2
2026-09-15,BK1374,风力发电,行业,2.24,56.2,0.65,3.99,90.3,观察,8.0,7.0,1
2026-09-15,BK1332,电子化学品Ⅲ,行业,5.19,313.5,2.1,1.65,89.8,形成,31.0,5.0,2
2026-09-15,BK1039,电子化学品Ⅱ,行业,5.19,313.5,2.1,1.65,89.8,形成,31.0,5.0,2
2026-09-15,BK1325,半导体材料,行业,12.09,281.2,1.81,4.3,89.7,观察,23.0,8.0,2
2026-09-15,BK1304,锂电专用设备,行业,4.24,52.0,2.31,8.16,89.6,试探,14.0,5.0,1
2026-09-15,BK0703,超级电容,概念,11.46,385.2,-0.08,2.98,89.6,形成,22.0,22.0,2
2026-09-15,BK1443,橡胶助剂,行业,0.99,22.0,-0.8,4.52,89.0,强势延续,1.0,1.0,2
2026-09-15,BK1326,半导体设备,行业,16.81,364.8,2.86,4.61,88.6,观察,23.0,2.0,1
2026-09-15,BK1328,集成电路封测,行业,5.89,153.9,2.35,3.83,88.1,观察,10.0,3.0,1
2026-09-15,BK1006,碳基材料,概念,1.75,64.0,0.39,2.73,87.8,形成,8.0,12.0,2
2026-09-15,BK1415,其他化学纤维,行业,1.43,15.2,1.79,9.43,87.7,试探,5.0,3.0,1
2026-09-15,BK1152,高带宽内存,概念,9.65,462.7,1.83,2.09,87.6,试探,23.0,5.0,1
2026-09-15,BK0977,碳化硅,概念,7.05,315.4,0.32,2.24,87.5,观察,21.0,25.0,1
2026-09-15,BK1171,碳纤维,概念,5.78,201.0,-0.63,2.88,86.9,形成,15.0,31.0,2
2026-09-15,BK1556,教育运营及其他,行业,0.15,11.5,2.88,1.27,86.8,观察,2.0,0,1
2026-09-15,BK0916,氮化镓,概念,9.8,252.7,0.3,3.88,86.7,试探,27.0,20.0,1
2026-09-15,BK0935,中芯概念,概念,22.76,738.7,1.24,3.08,86.2,试探,47.0,18.0,1
2026-09-15,BK1121,第四代半导体,概念,0.56,18.1,0.18,3.1,86.2,观察,2.0,2.0,1
